add-yield-c,8,1000,16000,181000,11,0
add-yield-c,8,5000,80000,203000,2,0
add-yield-c,8,10000,160000,184000,1,0
add-yield-s,8,10,160,274000,1712,0
add-yield-s,8,50,800,777000,971,0
add-yield-s,8,100,1600,1303000,814,0
add-yield-s,8,500,8000,5344000,668,0
add-yield-s,8,1000,16000,10299000,643,0
add-yield-none,12,10,240,291000,1212,2
add-yield-none,12,100,2400,1998000,832,-1
add-yield-none,12,1000,24000,20586000,857,0
add-yield-none,12,5000,120000,103935000,866,3
add-yield-none,12,10000,240000,200676000,836,8
add-yield-none,12,50000,1200000,1015271000,846,27
add-yield-m,12,10,240,702000,2925,0
add-yield-m,12,50,1200,1407000,1172,0
add-yield-m,12,100,2400,2106000,877,0
add-yield-m,12,1000,24000,14251000,593,0
add-yield-m,12,5000,120000,69203000,576,0
add-yield-m,12,10000,240000,134007000,558,0
add-yield-c,12,10,240,282000,1175,0
add-yield-c,12,100,2400,296000,123,0
add-yield-c,12,500,12000,256000,21,0
add-yield-c,12,1000,24000,241000,10,0
add-yield-c,12,5000,120000,257000,2,0
add-yield-c,12,10000,240000,332000,1,0
add-yield-s,12,10,240,328154000,1367308,0
add-yield-s,12,50,1200,2343656000,1953046,0
add-yield-s,12,100,2400,5143436000,2143098,0
add-yield-s,12,500,12000,25271349000,2105945,0
add-yield-s,12,1000,24000,51108384000,2129516,0
add-none,1,10,20,78000,3900,0
add-none,1,100,200,70000,350,0
add-none,1,1000,2000,102000,51,0
add-none,1,5000,10000,137000,13,0
add-none,1,10000,20000,186000,9,0
add-none,1,50000,100000,481000,4,0
add-m,1,10,20,114000,5700,0
add-m,1,100,200,116000,580,0
add-m,1,500,1000,81000,81,0
add-m,1,1000,2000,117000,58,0
add-m,1,5000,10000,151000,15,0
add-m,1,10000,20000,194000,9,0
add-c,1,10,20,63000,3150,0
add-c,1,100,200,69000,345,0
add-c,1,500,1000,68000,68,0
add-c,1,1000,2000,69000,34,0
add-c,1,5000,10000,70000,7,0
add-c,1,10000,20000,69000,3,0
add-s,1,10,20,73000,3650,0
add-s,1,50,100,76000,760,0
add-s,1,100,200,108000,540,0
add-s,1,500,1000,85000,85,0
add-s,1,1000,2000,106000,53,0
add-s,1,5000,10000,145000,14,0
add-s,1,10000,20000,176000,8,0
add-none,2,10,40,84000,2100,0
add-none,2,100,400,88000,220,0
add-none,2,1000,4000,123000,30,0
add-none,2,5000,20000,227000,11,0
add-none,2,10000,40000,482000,12,1
add-none,2,50000,200000,1973000,9,1
add-m,2,10,40,107000,2675,0
add-m,2,100,400,146000,365,0
add-m,2,500,2000,118000,59,0
add-m,2,1000,4000,123000,30,0
add-m,2,5000,20000,178000,8,0
add-m,2,10000,40000,313000,7,0
add-c,2,10,40,85000,2125,0
add-c,2,100,400,88000,220,0
add-c,2,500,2000,84000,42,0
add-c,2,1000,4000,98000,24,0
add-c,2,5000,20000,101000,5,0
add-c,2,10000,40000,84000,2,0
add-s,2,10,40,95000,2375,0
add-s,2,100,400,85000,212,0
add-s,2,500,2000,93000,46,0
add-s,2,1000,4000,120000,30,0
add-s,2,5000,20000,353000,17,0
add-s,2,10000,40000,608000,15,0
add-none,4,10,80,111000,1387,0
add-none,4,100,800,162000,202,0
add-none,4,1000,8000,147000,18,1
add-none,4,5000,40000,509000,12,1
add-none,4,10000,80000,849000,10,1
add-none,4,50000,400000,3700000,9,2
add-m,4,10,80,148000,1850,0
add-m,4,100,800,165000,206,0
add-m,4,500,4000,194000,48,0
add-m,4,1000,8000,225000,28,0
add-m,4,5000,40000,388000,9,0
add-m,4,10000,80000,547000,6,0
add-c,4,10,80,142000,1775,0
add-c,4,100,800,111000,138,0
add-c,4,500,4000,112000,28,0
add-c,4,1000,8000,112000,14,0
add-c,4,5000,40000,103000,2,0
add-c,4,10000,80000,112000,1,0
add-s,4,10,80,116000,1450,0
add-s,4,100,800,106000,132,0
add-s,4,500,4000,126000,31,0
add-s,4,1000,8000,174000,21,0
add-s,4,5000,40000,965000,24,0
add-s,4,10000,80000,1758000,21,0
add-none,8,10,160,168000,1050,0
add-none,8,100,1600,179000,111,0
add-none,8,1000,16000,242000,15,7
add-none,8,5000,80000,706000,8,-1
add-none,8,10000,160000,1293000,8,-1
add-none,8,50000,800000,6258000,7,15
add-m,8,10,160,198000,1237,0
add-m,8,100,1600,199000,124,0
add-m,8,500,8000,215000,26,0
add-m,8,1000,16000,282000,17,0
add-m,8,5000,80000,608000,7,0
add-m,8,10000,160000,845000,5,0
add-c,8,10,160,184000,1150,0
add-c,8,100,1600,184000,115,0
add-c,8,500,8000,235000,29,0
add-c,8,1000,16000,198000,12,0
add-c,8,5000,80000,218000,2,0
add-c,8,10000,160000,190000,1,0
add-s,8,10,160,204000,1275,0
add-s,8,100,1600,249000,155,0
add-s,8,500,8000,376000,47,0
add-s,8,1000,16000,574000,35,0
add-s,8,5000,80000,3126000,39,0
add-s,8,10000,160000,6174000,38,0
add-none,12,10,240,236000,983,0
add-none,12,100,2400,271000,112,0
add-none,12,500,12000,273000,22,0
add-none,12,1000,24000,299000,12,13
add-none,12,5000,120000,1054000,8,8
add-none,12,10000,240000,2119000,8,8
add-none,12,50000,1200000,9605000,8,2
add-m,12,10,240,292000,1216,0
add-m,12,100,2400,295000,122,0
add-m,12,500,12000,286000,23,0
add-m,12,1000,24000,387000,16,0
add-m,12,5000,120000,975000,8,0
